id;First name;family name 1;family name 2;Published name A;Published name B shorter;Position;Mainstream Media Source complete name;Mainstream Media Source name to show;Domain clean para Jonny
34000000003;Paolo;Vasile;;Paolo Vasile;P Vasile;CEO;Telecinco;telecinco.es/informativos;www.telecinco.es
34000000004;Javier;Moreno;Barber;Javier Moreno;J. Moreno;Director;El País;elpais.com;elpais.com
34000000005;Pedro J.;Ramírez;Codina;Pedro J. Ramírez;P.J. Ramírez;Director;El Mundo (España);elmundo.es;www.elmundo.es
34000000006;Josep;Antich;Valero;Josep Antich;J. Antich;Director;La Vanguardia;lavanguardia.com;www.lavanguardia.com
34000000007;Bieito;Rubido;Ramonde;Bieito Rubido;B. Rubido;Director;ABC (periódico español);abc.es;www.abc.es
34000000008;Gloria;Fernández-Lomana;García;Gloria Fernández-Lomana;G. Fernández-Lomana;Directora de Informativos;Antena3;antena3.com;www.antena3.com
34000000009;;;; ; ;;Cuatro tv;cuatro.com;www.cuatro.com
34000000010;Antonio;Hernández-Rodicio;Romero;Antonio Hernández-Rodicio;A. Hernández-Rodicio;Director;Cadena SER;cadenaser.com;www.cadenaser.com
34000000011;Fernando;Giménez;Barriocanal;Fernando Giménez;F. Giménez;Presidente y CEO;COPE;cope.es;www.cope.es
34000000012;Nacho;Cardero;;Nacho Cardero;N. Cardero;Director;El Confidencial;elconfidencial.com;rss.elconfidencial.com
34000000013;Francisco;Marhuenda;;Francisco Marhuenda;F. Marhuenda;Director;La Razón (España);larazon.es;www.larazon.es
34000000014;Amador;García;Ayora;Amador García;A. García;Director;El Economista (España);eleconomista.es;www.eleconomista.es
34000000015;Raúl;Vilas;;Raúl Vilas;R. Vilas;Director;Libertad Digital;libertaddigital.com;www.libertaddigital.com
34000000016;Ana Isabel;Pereda;;Ana Isabel Pereda;A.I. Pereda;Director;Expansión;expansion.com;www.expansion.com
34000000017;Jorge;Rivera;Garcia;Jorge Rivera;J. Rivera;Director;Cinco Días;cincodias.com;www.cincodias.com
34000000018;Julio;Ariza;Irigoyen;Julio Ariza;J. Ariza;Presidente;Intereconomía TV;intereconomia.com;www.intereconomia.com
34000000020;Enric;Hernandez;Llorente ;Enric Hernandez;E. Hernandez;Director;El Periódico de Catalunya;elperiodico.com/es;www.elperiodico.com
34000000021;Juan Carlos;Martínez;;Juan Carlos Martínez;J.C. Martínez;Director;El Correo;elcorreo.com;www.elcorreo.com
34000000023;Inés;Artajo;Ayesa;Inés Artajo;I. Artajo;Director;Diario de Navarra;diariodenavarra.es;www.diariodenavarra.es
34000000026;Ángeles;Rivero;;Ángeles Rivero;A. Rivero;Director;La Nueva España;lne.es;www.lne.es
34000000027;Maite;Iturbe;;Maite Iturbe;M. Iturbe;Director General;EiTB (Euskal Irrati Telebista);eitb.com/es/noticias;www.eitb.com
34000000028;José Antonio;Sánchez;Domínguez;José Antonio Sánchez;J.A. Sánchez;Director General;Telemadrid;telemadrid.es/noticias;www.telemadrid.es
34000000029;Miguel;Iturbe;Mach;Miguel Iturbe;M. Iturbe;Director;Heraldo de Aragón;heraldo.es;www.heraldo.es
34000000030;Joseba;Santamaría;Rekarte;Joseba Santamaría;J. Santamaría;Director;Diario de Noticias;noticiasdenavarra.com;www.noticiasdenavarra.com
34000000031;Francisco;Suárez;Álamo;Francisco Suárez;F. Suárez;Director;Canarias7;canarias7.es;www.canarias7.es
34000000032;Antonio;Cacereño;Ibañez;Antonio Cacereño;A. Cacereño;Director;La Provincia (Canarias);laprovincia.es;www.laprovincia.es
